Identifiant,Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Email,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
2csi,2CSI,Editeur ERP de Santé,ambition-pme,,,49.0388453,2.0679182,8 place du Ponceau,95000,Cergy,1994,http://www.2csi.fr,,,,,,,Entreprise
3d-counting,3D Counting,"La société 3D Counting a conçu et développé une technologie à base de caméras 3D, inégalée en France et en Europe, fonctionnant en stéréovision permettant ainsi de garantir une fiabilité des données de comptage récoltées supérieure à 99%.",,,,48.846262,2.320571,107 rue du Cherche-Midi,75006,Paris,2011,http://www.3dcounting.fr/,,,,,,,Entreprise
3s-informatique,3S Informatique,"3S Informatique intervient dans la conception, le développe- ment, l'exploitation et la maintenance de solutions informatiques.",ocds,,,48.8296712,2.2839327,"5, rue Ernest Renan",92130,Issy-Les-Moulineaux,2004,http://www.3s-informatique.com,,,,,,,Entreprise
3s-photonics,3S Photonics,"3S PHOTONICS conçoit, développe, fabrique et commercialise des composants actifs à partir de ses propres puces optoélectroniques III-V et des composants passifs issus d'une technologie à base de réseaux de Bragg sur fibres optiques.",telecoms,,,48.6678218,2.2362117,Route de Villejust,91625,Nozay,2007,http://www.3Sphotonics.com,,,,,,,Entreprise
4d,4D,"Le groupe 4D propose aux développeurs et aux entreprises une plateforme logicielle intégrée permettant d’accélérer et de simplifier le développement et le déploiement d’applications Desktop, Client-Serveur et de Business Web Apps. ",opensource,,,48.9041866,2.3103382,60 rue d’Alsace,92110,Clichy,1985,,,,,,,,Entreprise
6wind,6Wind,"Logiciels réseaux IP embarqués, OEM",telecoms,,,48.7766463,2.0306592,1 Place Charles de Gaulle Immeuble Central Gare Bât C,78180,Montigny-Le-Bretonneux,2001,http://www.6wind.com,,,,,,,Entreprise
acapi,Acapi,Club photo regroupant tous les passionnés d'images,opensource,,,48.8807772,2.3232415,16 rue des Chateaupieds,92565,Rueil-Malmaison Cedex,2003,http://www.acapi.fr/,,,,,,,Entreprise
actility,Actility,"Actility se positionne sur le marché du M2M (Machine to Machine) et objets communicants déployés à très grande échelle, en adressant notamment les besoins du marché de l’énergie (SmartGrid)",energie,,,48.755487,-3.465688,4 rue Ampère,22302,Lannion,2010,,,,,,,,Entreprise
activnetworks,Activnetworks,"Développement de solutions d'accélération et optimisation des flux Internet - http / https - pour les applications d'entreprise, les sites web et portails, les opérateurs de téléphonie mobile",telecoms,,,48.6792779,2.16647,"1 rue de Terre Neuve, BP 127",91940,Les-Ulis,2004,http://www.activnetworks.com,,,,,,,Entreprise
adacore,Adacore,"AdaCore est la société qui fournit des services de support technique et de conseil autour de GNAT, le compilateur Ada libre du projet GNU. AdaCore est également le principal développeur de GNAT.",opensource,ocds,,48.8784971,2.3270581,46 rue d'Amsterdam,75009,Paris,1996,http://www.adacore.com,,,,,,,Entreprise
adacsys,Adacsys,ADACSYS développe et commercialise une solution complète (matérielle et logicielle) pour la vérification fonctionnelle des circuits intégrés et systèmes sur puce (SoCs).,ocds,,,48.7202777,2.2605296,7 rue de la Croix Martre,91120,Palaiseau,2008,http://www.adacsys.com,,,,,,,Entreprise
adanam-technology,Adanam Technology,"Adanam Techology propose des offres technologiques pour la compession sans perte  des flux binaires à la volée (en mode SaaS ou composants, filtres, API, applications pour mobile, applications pour les stockages, archivages, Big Data...).",,,,48.9062255,2.2839531,18 rue Pasteur,92600,Asnieres-Sur-Seine,2011,,,,,,,,Entreprise
adicsys,Adicsys,"ADICSYS DESIGN est une société réalisant des prestations d’ingénierie en micro-électronique, à partir d’une solide expérience acquise dans la conception d’ASICs et FPGA complexes.",,,,48.6886854,2.2127813,14 avenue du Québec,91140,Villebon-Sur-Yvette,2011,http://www.adicsys.com/,,,,,,,Entreprise
adler-technologies,Adler Technologies,La société développe une technologie innovante et brevetée alliant reconnaissance biométrique et télécommunication mobile sécurisée.,securite,,,48.7826873,2.4708835,"126, rue de Brie",94000,Creteil,1998,,,,,,,,Entreprise
advanced-track-and-trace,Advanced Track And Trace,De la Traçabilité sécurisée unitaire... aux preuves incontestables,securite,,,48.8601284,2.179578,99 avenue de La Châtaigneraie,92504,Rueil-Malmaison,2003,http://www.att-fr.com/fr,,,,,,,Entreprise
adveotec,Adveotec,"Spécialiste de l'optoélectronique et de la mesure, AdvEOTec contribue à la dissémination des applications mixtes optiques et électroniques dans l’industrie. ",telecoms,,,48.597094,2.425046,"6-8, rue de La CloserieZAC du Clos aux Pois - CE5270",91090,Lisses,2003,http://www.adveotec.com,,,,,,,Entreprise
aerys,Aerys,"Aerys est un éditeur de logiciels qui crée et distribue des technologies innovantes : Minko, une technologie open source pour la création d’application 3D, et Orbit qui permet d’interconnecter tous les appareils électroniques.",telecoms,,,48.8353628,2.3525829,38 avenue des Gobelins,75013,Paris,2010,,,,,,,,Entreprise
aesma,Aesma,Société dédiée au management des risques géo-économiques et géo-sécuritaires,,,,48.873231,2.3245846,37 rue des Mathurins,75008,Paris,2009,http://www.aesma-group.com,,,,,,,Entreprise
